[0, 0.0, 0.8045977], [2, 0.2484076, 0.0], [4, 0.5414013, 0.137931], [5, 0.5031847, 0.1034483], [8, 0.611465, 0.3563218], [9, 0.5541401, 0.3793103], [12, 0.477707, 0.6436782], [13, 0.5605096, 0.6896552], [16, 0.4649682, 0.8735632], [17, 0.5414013, 1.0], [20, 1.0, 0.9770115]
[0, 0.0, 1.0], [2, 0.1866667, 0.2277228], [4, 0.5333333, 0.1584158], [5, 0.42, 0.2673267], [8, 0.7133333, 0.0], [9, 0.5066667, 0.4950495], [12, 0.3933333, 0.4356436], [13, 0.5533333, 0.7227723], [16, 0.4, 0.7128713], [17, 0.5866667, 0.950495], [20, 1.0, 0.5346535]
[0, 0.2555556, 1.0], [2, 0.7166667, 0.75], [4, 1.0, 0.4895833], [5, 0.5388889, 0.4322917], [8, 0.6777778, 0.0], [9, 0.3833333, 0.421875], [12, 0.5111111, 0.0], [13, 0.2277778, 0.4791667], [16, 0.3611111, 0.1041667], [17, 0.0722222, 0.5885417], [20, 0.0277778, 0.328125]
[0, 0.1556886, 1.0], [2, 0.6886228, 0.78], [4, 1.0, 0.4], [5, 0.5449102, 0.6], [8, 0.7005988, 0.0333333], [9, 0.3832335, 0.5733333], [12, 0.5149701, 0.0066667], [13, 0.2215569, 0.5933333], [16, 0.2754491, 0.0], [17, 0.0658683, 0.64], [20, 0.0, 0.16]
[0, 0.0601504, 1.0], [2, 0.7067669, 0.577381], [4, 1.0, 0.2559524], [5, 0.443609, 0.4345238], [8, 0.6165414, 0.0], [9, 0.2781955, 0.4345238], [12, 0.4887218, 0.0178571], [13, 0.1353383, 0.452381], [16, 0.3157895, 0.0416667], [17, 0.0, 0.5], [20, 0.1203008, 0.1369048]
[0, 0.3383085, 1.0], [2, 0.7363184, 0.7795918], [4, 1.0, 0.5510204], [5, 0.5820896, 0.522449], [8, 0.721393, 0.0816327], [9, 0.4278607, 0.4938776], [12, 0.4776119, 0.0], [13, 0.278607, 0.5183673], [16, 0.2935323, 0.0489796], [17, 0.1442786, 0.5836735], [20, 0.0, 0.2163265]
[0, 0.3020833, 1.0], [2, 0.7291667, 0.6995074], [4, 1.0, 0.4384236], [5, 0.5416667, 0.4187192], [8, 0.6666667, 0.0541872], [9, 0.390625, 0.3793103], [12, 0.4739583, 0.0049261], [13, 0.2552083, 0.3990148], [16, 0.265625, 0.0], [17, 0.1145833, 0.4778325], [20, 0.0, 0.1280788]
[0, 0.3285024, 1.0], [2, 0.7342995, 0.7901235], [4, 1.0, 0.5720165], [5, 0.5700483, 0.5185185], [8, 0.7004831, 0.0781893], [9, 0.4202899, 0.4897119], [12, 0.47343, 0.0], [13, 0.2801932, 0.5102881], [16, 0.2898551, 0.0452675], [17, 0.1400966, 0.5761317], [20, 0.0, 0.2098765]
[0, 0.3190476, 1.0], [2, 0.7238095, 0.7848606], [4, 1.0, 0.5776892], [5, 0.5571429, 0.5179283], [8, 0.7, 0.0876494], [9, 0.4190476, 0.4900398], [12, 0.4809524, 0.0], [13, 0.2809524, 0.5139442], [16, 0.2904762, 0.0557769], [17, 0.1428571, 0.5737052], [20, 0.0, 0.2151394]
[0, 0.3127962, 1.0], [2, 0.7203791, 0.7857143], [4, 1.0, 0.5793651], [5, 0.5545024, 0.515873], [8, 0.7014218, 0.0912698], [9, 0.4123223, 0.4920635], [12, 0.478673, 0.0], [13, 0.2796209, 0.5119048], [16, 0.2938389, 0.0515873], [17, 0.1421801, 0.5714286], [20, 0.0, 0.2142857]
[0, 0.3130841, 1.0], [2, 0.7149533, 0.7865613], [4, 1.0, 0.5849802], [5, 0.5514019, 0.5177866], [8, 0.6962617, 0.0909091], [9, 0.411215, 0.4901186], [12, 0.4813084, 0.0], [13, 0.2757009, 0.513834], [16, 0.2943925, 0.055336], [17, 0.1448598, 0.5731225], [20, 0.0, 0.2173913]
[0, 0.3130841, 1.0], [2, 0.7196262, 0.7865613], [4, 1.0, 0.5810277], [5, 0.5560748, 0.5177866], [8, 0.7009346, 0.0869565], [9, 0.4158879, 0.4901186], [12, 0.4859813, 0.0], [13, 0.2803738, 0.5098814], [16, 0.2943925, 0.0513834], [17, 0.1448598, 0.5731225], [20, 0.0, 0.2134387]
[0, 0.2981651, 1.0], [2, 0.7110092, 0.7913386], [4, 1.0, 0.5944882], [5, 0.5504587, 0.519685], [8, 0.706422, 0.0984252], [9, 0.4082569, 0.488189], [12, 0.4862385, 0.0], [13, 0.2752294, 0.507874], [16, 0.2981651, 0.0472441], [17, 0.1422018, 0.5708661], [20, 0.0, 0.2086614]
[0, 0.2949309, 1.0], [2, 0.7096774, 0.7992126], [4, 1.0, 0.5984252], [5, 0.5529954, 0.523622], [8, 0.7050691, 0.1023622], [9, 0.4101382, 0.492126], [12, 0.4976959, 0.0], [13, 0.2764977, 0.511811], [16, 0.3087558, 0.0433071], [17, 0.1382488, 0.5669291], [20, 0.0, 0.2086614]
[0, 0.2616822, 1.0], [2, 0.6962617, 0.8039216], [4, 1.0, 0.6235294], [5, 0.5560748, 0.5254902], [8, 0.7336449, 0.1019608], [9, 0.411215, 0.4862745], [12, 0.5186916, 0.0], [13, 0.2663551, 0.5019608], [16, 0.3224299, 0.0431373], [17, 0.1261682, 0.5607843], [20, 0.0, 0.1921569]
[0, 0.254717, 1.0], [2, 0.6886792, 0.8134921], [4, 1.0, 0.6269841], [5, 0.5424528, 0.5277778], [8, 0.7358491, 0.1071429], [9, 0.4009434, 0.4920635], [12, 0.5235849, 0.0], [13, 0.2641509, 0.5079365], [16, 0.3301887, 0.0357143], [17, 0.1226415, 0.5634921], [20, 0.0, 0.1904762]
[0, 0.247619, 1.0], [2, 0.6904762, 0.8134921], [4, 1.0, 0.6309524], [5, 0.5428571, 0.5277778], [8, 0.7380952, 0.1031746], [9, 0.4047619, 0.4920635], [12, 0.5285714, 0.0], [13, 0.2619048, 0.5079365], [16, 0.3380952, 0.0396825], [17, 0.1190476, 0.5595238], [20, 0.0, 0.1865079]
[0, 0.2451923, 1.0], [2, 0.6875, 0.82], [4, 1.0, 0.636], [5, 0.5384615, 0.532], [8, 0.7403846, 0.104], [9, 0.3990385, 0.492], [12, 0.5336538, 0.0], [13, 0.2596154, 0.504], [16, 0.3317308, 0.032], [17, 0.1153846, 0.56], [20, 0.0, 0.184]
[0, 0.2463768, 1.0], [2, 0.6859903, 0.8207171], [4, 1.0, 0.6414343], [5, 0.5410628, 0.5298805], [8, 0.7487923, 0.1075697], [9, 0.4057971, 0.4940239], [12, 0.5458937, 0.0], [13, 0.2608696, 0.5059761], [16, 0.3381643, 0.0318725], [17, 0.115942, 0.5577689], [20, 0.0, 0.1832669]
[0, 0.2146341, 1.0], [2, 0.6780488, 0.8247012], [4, 1.0, 0.6414343], [5, 0.5512195, 0.5338645], [8, 0.7902439, 0.1155378], [9, 0.404878, 0.4900398], [12, 0.5560976, 0.0], [13, 0.2487805, 0.4940239], [16, 0.3512195, 0.0278884], [17, 0.097561, 0.5458167], [20, 0.0, 0.1673307]
[0, 0.2087379, 1.0], [2, 0.6699029, 0.8326693], [4, 1.0, 0.6613546], [5, 0.538835, 0.5418327], [8, 0.7718447, 0.1155378], [9, 0.3980583, 0.498008], [12, 0.5485437, 0.0], [13, 0.2475728, 0.5059761], [16, 0.3495146, 0.0318725], [17, 0.0970874, 0.5537849], [20, 0.0, 0.1713147]
[0, 0.2163462, 1.0], [2, 0.6682692, 0.8221344], [4, 1.0, 0.6482213], [5, 0.5336538, 0.5335968], [8, 0.7644231, 0.1067194], [9, 0.3894231, 0.4901186], [12, 0.5432692, 0.0], [13, 0.2451923, 0.5019763], [16, 0.3509615, 0.027668], [17, 0.0961538, 0.5533597], [20, 0.0, 0.1660079]
[0, 0.2142857, 1.0], [2, 0.6666667, 0.8203125], [4, 1.0, 0.6445312], [5, 0.5333333, 0.5390625], [8, 0.7619048, 0.1132812], [9, 0.3904762, 0.4960938], [12, 0.5428571, 0.0], [13, 0.247619, 0.5039062], [16, 0.347619, 0.0351562], [17, 0.1, 0.5546875], [20, 0.0, 0.171875]
